LINK,sector,name,code
https://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratstatefertilizerschemicals/GSF,fertilisers,GSF,gujaratstatefertilizerschemicals
https://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratalkalieschemicals/GAC01,chemicals,GAC01,gujaratalkalieschemicals
https://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratheavychemicals/GHC,chemicals,GHC,gujaratheavychemicals
https://www.moneycontrol.com/india/stockpricequote/miningminerals/gujaratmineraldevelopmentcorporation/GMD,miningminerals,GMD,gujaratmineraldevelopmentcorporation
https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02,oildrillingandexploration,GSP02,gujaratstatepetronet
https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratgas/GGC,oildrillingandexploration,GGC,gujaratgas
https://www.moneycontrol.com/india/stockpricequote/shipping/gujaratpipavavport/GPP03,shipping,GPP03,gujaratpipavavport
https://www.moneycontrol.com/india/stockpricequote/lubricants/gulfoillubricantsindia/GOL01,lubricants,GOL01,gulfoillubricantsindia
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/hathwaycabledatacom/HCD,mediaentertainment,HCD,hathwaycabledatacom
https://www.moneycontrol.com/india/stockpricequote/electricequipment/havellsindia/HI01,electricequipment,HI01,havellsindia
https://www.moneycontrol.com/india/stockpricequote/domesticappliances/hawkinscooker/HC02,domesticappliances,HC02,hawkinscooker
https://www.moneycontrol.com/india/stockpricequote/computerssoftware/hcltechnologies/HCL02,computerssoftware,HCL02,hcltechnologies
https://www.moneycontrol.com/india/stockpricequote/financehousing/housingdevelopmentfinancecorporation/HDF,financehousing,HDF,housingdevelopmentfinancecorporation
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/hdfcassetmanagementcompany/HAM02,financeinvestments,HAM02,hdfcassetmanagementcompany
https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/hdfcbank/HDF01,banksprivatesector,HDF01,hdfcbank
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/hdfclifeinsurancecompanylimited/HSL01,miscellaneous,HSL01,hdfclifeinsurancecompanylimited
https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/heg/HEG,electrodesgraphite,HEG,heg
https://www.moneycontrol.com/india/stockpricequote/cementmajor/heidelbergcementindia/HCI02,cementmajor,HCI02,heidelbergcementindia
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/heritagefoods/HFI,foodprocessing,HFI,heritagefoods
https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/heromotocorp/HHM,auto23wheelers,HHM,heromotocorp
https://www.moneycontrol.com/india/stockpricequote/computerssoftware/hexawaretechnologies/HT02,computerssoftware,HT02,hexawaretechnologies
https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/hfcl/HFC,telecommunicationsequipment,HFC,hfcl
https://www.moneycontrol.com/india/stockpricequote/chemicals/himadrispecialitychemical/HCI01,chemicals,HCI01,himadrispecialitychemical
https://www.moneycontrol.com/india/stockpricequote/textilessyntheticsilk/himatsingkaseide/HS,textilessyntheticsilk,HS,himatsingkaseide
https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustancopper/HC07,metalsnonferrous,HC07,hindustancopper
https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustanzinc/HZ,metalsnonferrous,HZ,hindustanzinc
https://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI,aluminium,HI,hindalcoindustries
https://www.moneycontrol.com/india/stockpricequote/diversified/hindustanaeronauticsltd/HAL,diversified,HAL,hindustanaeronauticsltd
https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/honeywellautomation/HA04,telecommunicationsequipment,HA04,honeywellautomation
https://www.moneycontrol.com/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC,refineries,HPC,hindustanpetroleumcorporation
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/housingurbandevelopmentcorporation/HUD,constructioncontractingrealestate,HUD,housingurbandevelopmentcorporation
https://www.moneycontrol.com/india/stockpricequote/personalcare/hindustanunilever/HU,personalcare,HU,hindustanunilever
https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/icicibank/ICI02,banksprivatesector,ICI02,icicibank
https://www.moneycontrol.com/india/stockpricequote/diversified/icicilombardgeneralinsurancecompany/ILG,diversified,ILG,icicilombardgeneralinsurancecompany
https://www.moneycontrol.com/india/stockpricequote/financegeneral/iciciprudentiallifeinsurancecompany/IPL01,financegeneral,IPL01,iciciprudentiallifeinsurancecompany
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/icicisecuritiesltd/ISL04,miscellaneous,ISL04,icicisecuritiesltd
https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/idbibank/IDB05,bankspublicsector,IDB05,idbibank
